TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,17826,17826,1,Ol Jogi Ranch,Ol Jogi Ranch,Private Ranch,Private Ranch,National,Not Reported,Not Applicable,0,0,0,267,116.1956033,Not Applicable,0,Not Reported,1985,Non-profit organisations,Not Reported,Private,Not Reported,Not Reported,1775,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,103549,103549,1,Lake Naivasha,Lake Naivasha,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv),0,0,0,300,287.6497072,Not Applicable,0,Designated,1995,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,555555522,555555522,1,Nasuulu Community Wildlife Conservancy,Nasuulu Community Wildlife Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,346.009704,346.0435581,Not Applicable,0,Not Reported,2011,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,68092,68092,1,Lake Nakuru,Lake Nakuru,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(iv)(v)(vi),0,0,0,188,177.3871545,Not Applicable,0,Designated,1990,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,900591,900591,1,Lake Bogoria,Lake Bogoria,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iv)(v),0,0,0,107,84.0389188,Not Applicable,0,Designated,2001,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,555566888,555566888,1,Awer Community Conservancy,Awer Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,209,209.6739629,Not Applicable,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555555520,555555520,1,Biliqo-Bulesa Community Conservancy,Biliqo-Bulesa Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,3784.823327,3787.207882,Not Applicable,0,Not Reported,2007,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555555521,555555521,1,Hanshak-Nyongoro Community Conservancy,Hanshak-Nyongoro Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,792,784.0957585,Not Applicable,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555555504,555555504,1,Il Ngwesi Community Trust,Il Ngwesi Community Trust,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,94.333227,94.33070644,Not Applicable,0,Not Reported,1995,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555566902,555566902,1,Ngare Ndare Community Conservancy,Ngare Ndare Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,55.107407,55.10635524,Not Applicable,0,Not Reported,2000,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
